Date Début;Date Fin;Etat;Agrément;Organisateur;Nom de l'épreuve;Lieu;Discipline;Formule;Caractéristiques
10/05/2026;10/05/2026;Validée;1285138;SAINTE FOY;TIR CAMPAGNE CHAMPIONNAT RÉGIONAL;SAINT JULIEN DES LANDES;Tir en Campagne;12 CONNUES + 12 INCONNUES;Championnat Régional individuel
09/05/2026;10/05/2026;Validée;1249068;DAUMERAY;DRE 2E MANCHE;DAUMERAY;Tir à l'Arc Extérieur;;"Individuel
Championnat DRE par équipe"
09/05/2026;10/05/2026;Validée;1249068;DAUMERAY;DRE 2E MANCHE;DAUMERAY;Tir à l'Arc Extérieur;;par équipe 2026
09/05/2026;09/05/2026;Validée;1253072;MESLAY DU MAINE;CONCOURS EXTERIEUR SPECIAL JEUNES;MESLAY DU MAINE;Jeunes;RENCONTRE JEUNES;Individuel
09/05/2026;09/05/2026;Validée;1285138;SAINTE FOY;TIR CAMPAGNE LE GRAND DEFI;SAINT JULIEN DES LANDES;Tir en Campagne;12 CONNUES + 12 INCONNUES;Individuel
08/05/2026;08/05/2026;Validée;1285133;AIZENAY;CONCOURS 08 MAI;AIZENAY;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
08/05/2026;08/05/2026;Validée;1285133;AIZENAY;CONCOURS 08 MAI;AIZENAY;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
03/05/2026;03/05/2026;Validée;1249061;CHEMILLE;DOUBLE NATURE DU 2 ET 3 MAI ;CHEMILLE EN ANJOU;Tir Nature;21 CIBLES;Individuel
03/05/2026;03/05/2026;Validée;1272108;LE MANS MAINE;TAE LE MANS MAINE;LE MANS;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
03/05/2026;03/05/2026;Validée;1272108;LE MANS MAINE;TAE LE MANS MAINE;LE MANS;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
03/05/2026;03/05/2026;Validée;1272103;LE MANS NATURE;TIR 3D LE MANS;LE MANS;Tir 3D;1 X 24 CIBLES;Individuel
03/05/2026;03/05/2026;Validée;1249054;BEAUPREAU;CONCOURS TAE 2026;BEAUPREAU EN MAUGES;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
03/05/2026;03/05/2026;Validée;1249054;BEAUPREAU;CONCOURS TAE 2026;BEAUPREAU EN MAUGES;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
03/05/2026;03/05/2026;Validée;1244041;VERTOU;CONCOURS TAE;BOUGUENAIS;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
03/05/2026;03/05/2026;Validée;1244041;VERTOU;CONCOURS TAE;BOUGUENAIS;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
02/05/2026;28/06/2026;Validée;1244010;DONGES;TIR BEURSAULT;DONGES;Tir Beursault;Beursault sélectif;Individuel
02/05/2026;02/05/2026;Validée;1249061;CHEMILLE;DOUBLE NATURE 2 ET 3 MAI 2026;CHEMILLE EN ANJOU;Tir Nature;21 CIBLES;Individuel
02/05/2026;02/05/2026;Validée;1249068;DAUMERAY;TOURNOI REGIONAL JEUNE;DAUMERAY;Tir à l'Arc Extérieur;;Individuel
02/05/2026;02/05/2026;Validée;1285122;FONTENAY LE COMTE;TIR PARCOURS DECOUVERTE 2026;THOUARSAIS-BOUILDROUX;Loisirs;Autre;Individuel
02/05/2026;02/05/2026;Validée;1272103;LE MANS NATURE;TIR 3D LE MANS;LE MANS;Tir 3D;1 X 24 CIBLES;Individuel
02/05/2026;02/05/2026;Validée;CR12;CR  PAYS DE LA LOIRE;TRJ;DAUMERAY;Tir à l'Arc Extérieur;;"Individuel
Championnat Club par équipe"
02/05/2026;02/05/2026;Validée;CR12;CR  PAYS DE LA LOIRE;TRJ;DAUMERAY;Tir à l'Arc Extérieur;;Championnat Club individuel
01/05/2026;01/05/2026;Validée;1285122;FONTENAY LE COMTE;TIR EN CAMPAGNE 2026;THOUARSAIS-BOUILDROUX;Tir en Campagne;12 CONNUES + 12 INCONNUES;Individuel
01/05/2026;01/05/2026;Validée;1249050;CHOLET TAC;TAEI - TAEN 2026;CHOLET;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
01/05/2026;01/05/2026;Validée;1249050;CHOLET TAC;TAEI - TAEN 2026;CHOLET;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
26/04/2026;26/04/2026;Validée;1285116;CHANTONNAY;TIR EXTÉRIEUR;CHANTONNAY;Tir à l'Arc Extérieur;;Individuel
26/04/2026;26/04/2026;Validée;1249066;SAUMUR;WEEK-END TIR NATURE;SAUMUR;Tir Nature;21 CIBLES;Individuel
26/04/2026;26/04/2026;Validée;1272105;LE MANS;CONCOURS EXTERIEUR;LE MANS;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
26/04/2026;26/04/2026;Validée;1272105;LE MANS;CONCOURS EXTERIEUR;LE MANS;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
25/04/2026;26/04/2026;Validée;1244044;NANTES;DRE 1ERE MANCHE;NANTES;Tir à l'Arc Extérieur;;"Individuel
Championnat DRE par équipe"
25/04/2026;26/04/2026;Validée;1244044;NANTES;DRE 1ERE MANCHE;NANTES;Tir à l'Arc Extérieur;;par équipe 2026
25/04/2026;25/04/2026;Validée;1249066;SAUMUR;WEEK-END TIR NATURE;SAUMUR;Tir Nature;21 CIBLES;Individuel
19/04/2026;19/04/2026;Validée;1249047;CANDE;EXTERIEUR CANDE 19 AVRIL 2026;CANDE;Tir à l'Arc Extérieur;;Individuel
18/04/2026;18/04/2026;Validée;1249047;CANDE;SPECIAL DEBUTANTS CANDE 18 AVRIL 2026;CANDE;Loisirs;Débutants;Individuel
18/04/2026;18/04/2026;Validée;1249047;CANDE;PARA TIR EXTERIEUR CANDE 18 AVRIL 2026;CANDE;Para-tir à l'arc en extérieur;;Individuel
18/04/2026;18/04/2026;Validée;CR12;CR  PAYS DE LA LOIRE;JOURNEE FORMATION;LA CHAPELLE SUR ERDRE;Tir à l'Arc Extérieur;;Individuel
12/04/2026;12/04/2026;Validée;1244002;ST HERBLAIN;CONCOURS NATURE;LA PÂQUELAIS;Tir Nature;21 CIBLES;Individuel
12/04/2026;12/04/2026;Validée;1272098;LA FLECHE;CONCOURS BEURSAULT ;LA FLECHE ;Tir Beursault;Beursault sélectif;Individuel
12/04/2026;12/04/2026;Validée;1249049;MAZE;CONCOURS CAMPAGNE;FONTAINE-MILON;Tir en Campagne;12 CONNUES + 12 INCONNUES;Individuel
12/04/2026;12/04/2026;Validée;CR12;CR  PAYS DE LA LOIRE;OFFRE SPORTIVE JEUNES;LA CHAPELLE SUR ERDRE;Tir à l'Arc Extérieur;;Individuel
11/04/2026;12/04/2026;Validée;1244009;CARQUEFOU;"CONCOURS ARCHERS DE L&apos;ERDRE";CARQUEFOU;Tir à l'Arc Extérieur;;"Individuel
Valide + Para"
11/04/2026;12/04/2026;Validée;1244009;CARQUEFOU;"CONCOURS ARCHERS DE L&apos;ERDRE";CARQUEFOU;Para-tir à l'arc en extérieur;;"Individuel
Valide + Para"
11/04/2026;12/04/2026;Validée;1244009;CARQUEFOU;CONCOURS EXTÉRIEUR ARCHERS DE L ERDRE;CARQUEFOU;Para-tir à l'arc en extérieur;;Individuel
11/04/2026;11/04/2026;Validée;1285141;LES FLÉCHES D'ALIÉNOR;TOURNOI DES POUSSIN;TALMONT SAINT HILAIRE;Tournoi Poussin;;Individuel
05/04/2026;05/04/2026;Validée;1272093;BOULOIRE;CONCOURS NATURE PAQUES DIMANCHE;BOULOIRE;Tir Nature;21 CIBLES;Individuel
05/04/2026;05/04/2026;Validée;1253081;LE GENEST ST ISLE;TIR EN CAMPAGNE ECHOLOGIA;LOUVERNÉ;Tir en Campagne;12 CONNUES + 12 INCONNUES;Individuel
04/04/2026;04/04/2026;Validée;1272093;BOULOIRE;CONCOURS NATURE PAQUES SAMEDI;BOULOIRE;Tir Nature;21 CIBLES;Individuel
04/04/2026;04/04/2026;Validée;1272093;BOULOIRE;CONCOURS 3D PAQUES;BOULOIRE;Tir 3D;1 X 24 CIBLES;Individuel
01/04/2026;01/04/2026;Validée;CR12;CR  PAYS DE LA LOIRE;OFFRE SPORTIVE JEUNES;LA CHAPELLE SUR ERDRE;Tir à l'Arc Extérieur;;Individuel
29/03/2026;29/03/2026;Validée;1253072;MESLAY DU MAINE;TROPHÉE DES MIXTES CD 53;MESLAY DU MAINE;Loisirs;Trophée des mixtes;Uniquement équipe
28/03/2026;28/03/2026;Validée;1272109;SILLE LE GUILLAUME;CONCOURS ENTRE NOUS;SILLE LE GUILLAUME;Loisirs;Autre;Individuel
28/03/2026;28/03/2026;Validée;1272108;LE MANS MAINE;FIN DE SAISON SALLE;MAINE;Loisirs;Autre;Individuel
22/03/2026;22/03/2026;Validée;1244042;ORVAULT;"TIR EN CAMPAGNE D&apos;ORVAULT";ORVAULT;Tir en Campagne;12 CONNUES + 12 INCONNUES;Individuel
22/03/2026;22/03/2026;Validée;1272103;LE MANS NATURE;TIR NATURE LE MANS;LE MANS;Tir Nature;21 CIBLES;Individuel
21/03/2026;21/03/2026;Validée;1249066;SAUMUR;CHAIRMARTIN 3D SÉLECTION;SAUMUR;Loisirs;Débutants;Individuel
21/03/2026;21/03/2026;Validée;1249061;CHEMILLE;CHAIRMARTIN 3D SÉLECTION;CHEMILLÉ;Loisirs;Débutants;Individuel
21/03/2026;21/03/2026;Validée;1272103;LE MANS NATURE;TIR NATURE LE MANS;LE MANS;Tir Nature;21 CIBLES;Individuel
15/03/2026;15/03/2026;Validée;1249049;MAZE;CONCOURS NATURE DÉPARTEMENTAL;CORNILLÉ-LES-CAVES;Tir Nature;21 CIBLES;Championnat Départemental individuel
14/03/2026;15/03/2026;Validée;1272112;LA FERTE BERNARD;12 H DE NUIT LA FERTE BERNARD;LA FERTE BERNARD;Loisirs;Challenge par équipe;Uniquement équipe
14/03/2026;14/03/2026;Validée;1244025;COUERON;COMPÉTITION POUSSIN;COUËRON;Tournoi Poussin;;Individuel
14/03/2026;14/03/2026;Validée;1244024;ST NAZAIRE;TROPHÉE DES MIXTES CD 44;SAINT NAZAIRE;Loisirs;Trophée des mixtes;Uniquement équipe
14/03/2026;14/03/2026;Validée;1285122;FONTENAY LE COMTE;CONCOURS DÉBUTANTS;FONTENAY LE COMTE;Loisirs;Débutants;Individuel
08/03/2026;08/03/2026;Validée;1244013;LA HAYE FOUASSIERE;RENCONTRE AMICALE DEBUTANTS;LA HAYE FOUASSIÈRE;Rencontres Clubs Loisirs;;Individuel
08/03/2026;08/03/2026;Validée;1253078;CHANGE;CONCOURS MULTI DISCIPLINES;CHANGE;Loisirs;Autre;Individuel
01/03/2026;01/03/2026;Validée;1244002;ST HERBLAIN;LOISIR 3D INDOOR;ST HERBLAIN;Loisirs;Autre;Individuel
